0x2786	0x28b4	0x2799
0x259	0x914	0x2a2a
0x271	0x9dd	0x2a5d
0x37d	0xde9	0x2b96
0x3d1	0xf5e	0x2c19
0x54a	0x14ac	0x2e8d
0x5f1	0x14ac	0x5fa
0xf70	0xde9	0x2fd9
0x30bd	0x9dd	0x3092
0x302aB0x428	0x9dd	0x10f1B0x428
0x136fB0x4f0	0x1d64	0x3070B0x4f0
0x158fB0x57a	0x1d7a	0x3107B0x57a
0x1634B0x610	0x9dd	0x3129B0x610
0x17f1B0x858B0x1d4	0x1d64	0x17faB0x858B0x1d4
0x1815B0x858B0x1d4	0x1d7a	0x181eB0x858B0x1d4
0xcb3B0x2f2	0xf5e	0xcc6B0x2f2
0xce0B0x2f2	0x914	0xce9B0x2f2
0x24f3B0x1bd1B0x2f2	0x276c	0x3237B0x1bd1B0x2f2
0x245fB0x1bcbB0x2f2	0xde9	0x320cB0x1bcbB0x2f2
