0x0	0x2
0x1f	0x21
0x4	0x5
0xf	0x12
0x2	0x4
0x5	0x7
0x7	0x8
0x8	0xb
0xc	0xf
0x12	0x14
0x14	0x15
0x15	0xede
0x1a	0x1c
0x1c	0x1d
0x1d	0x1f
0x21	0x26
0x26	0x27
0x27	0x2a
0x2c	0x31
0x31	0xee0
0x37	0x3c
0x3c	0xee2
0x42	0x47
0x47	0xee4
0x4d	0x52
0x52	0xee6
0x57	0x5a
0x5d	0x62
0x62	0xee8
0x68	0x6d
0x6d	0xeea
0x73	0x78
0x78	0xeec
0x7e	0x81
0x83	0x86
0x86	0x89
0x9d	0xa0
0xa0	0xa3
0xa3	0xa4
0xa4	0xa5
0xa5	0xa8
0xa8	0xa9
0xa9	0xaa
0xaa	0xad
0xae	0xb1
0xb4	0xb6
0xb6	0xb8
0xb8	0xba
0xba	0xbb
0xbb	0xbd
0xbd	0xbf
0xbf	0xc1
0xc1	0xc3
0xc3	0xc4
0xc4	0xc5
0xc5	0xc6
0xc6	0xc9
0xcd	0xd0
0xd0	0xd3
0xd5	0xd8
0xd8	0xdb
0xdb	0xdc
0xdc	0xdd
0xdd	0xe0
0xe0	0xe1
0xe1	0xe2
0xe2	0xe5
0xe6	0xe9
0xec	0xed
0xed	0xef
0xef	0xf1
0xf1	0xf3
0xf3	0xf4
0xf4	0xf5
0xf5	0xf6
0xf6	0xf9
0xfb	0xfe
0xfe	0xff
0xff	0x106
0x106	0x108
0x109	0x10d
0x10d	0x10e
0x10e	0x110
0x110	0x112
0x114	0x117
0x117	0x11a
0x11a	0x11b
0x11b	0x11c
0x11c	0x120
0x120	0x121
0x121	0x122
0x122	0x125
0x126	0x129
0x12c	0x12e
0x12e	0x130
0x130	0x132
0x132	0x133
0x133	0x135
0x135	0x136
0x136	0x138
0x138	0x13b
0x13b	0x13c
0x13c	0x13e
0x13e	0x141
0x141	0x144
0x144	0x145
0x145	0x146
0x146	0x148
0x148	0x14b
0x14b	0x14c
0x14c	0x14e
0x14e	0x151
0x151	0x152
0x152	0x154
0x154	0x157
0x157	0x158
0x158	0x15a
0x15a	0x15c
0x15c	0x15f
0x15f	0x160
0x160	0x161
0x161	0x163
0x163	0x166
0x166	0x167
0x167	0x169
0x169	0x16c
0x16c	0x16d
0x16d	0x16e
0x16e	0x171
0x173	0x176
0x176	0x179
0x17b	0x17e
0x17e	0x181
0x183	0x186
0x186	0x187
0x187	0x189
0x189	0x18b
0x18b	0x18d
0x18d	0x18e
0x18e	0x191
0x191	0x193
0x194	0x198
0x198	0x199
0x199	0x19b
0x19b	0x19d
0x19f	0x1a1
0x1a1	0x1a3
0x1a5	0x1a7
0x1a7	0x1a8
0x1a8	0x1ac
0x1ac	0x1ad
0x1ad	0x1af
0x1af	0x1b1
0x1b1	0x1b4
0x1b6	0x1b9
0x1b9	0x1bc
0x1bf	0x1c2
0x1c4	0x1c6
0x1c6	0x1c7
0x1c7	0x1c9
0x1c9	0x1ca
0x1ca	0x1cc
0x1cc	0x1cf
