0x8	0x10
0x27	0x1ff
0x32	0x11a
0x3d	0xad
0x48	0x7c
0x78	0x507c
0xa9	0x50a0
0xb5	0xe9
0xe5	0x50c4
0x116	0x50e8
0x122	0x192
0x12d	0x161
0x15d	0x510c
0x18e	0x5130
0x19a	0x1ce
0x1ca	0x5154
0x1fb	0x5178
0x207	0x2ef
0x212	0x282
0x21d	0x251
0x24d	0x519c
0x27e	0x51c0
0x28a	0x2be
0x2ba	0x51e4
0x2eb	0x5208
0x2f7	0x367
0x302	0x336
0x332	0x522c
0x363	0x5250
0x36f	0x3a3
0x39f	0x5274
0x3d6	0x3dd0x3d5
0x453	0x5298
0x460	0x468
0x47a	0xf19
0x493	0x52cb
0x4a0	0x4a8
0x4ab	0xf86
0x4c2	0x4e7
0x4cf	0x4d7
0x4e3	0xf9c
0x501	0x52fc
0x50b	0x531d
0x518	0x520
0x523	0x1005
0x528	0x533e
0x52b	0x132a
0x530	0x536f
0x53d	0x545
0x551	0x1330
0x556	0x53a0
0x559	0x13f0
0x55e	0x53d1
0x566	0x5402
0x573	0x57b
0x5b5	0x5bd
0x5c7	0x5cf
0x5e8	0x5f0
0x63a	0x642
0x64c	0x654
0x66d	0x675
0x6b5	0x14590x565
0x6bc	0x5423
0x6bf	0x1500
0x6c4	0x5454
0x6d1	0x6d9
0x6f5	0x1506
0x6fa	0x5487
0x707	0x70f
0x721	0x1578
0x726	0x54b8
0x729	0x158d
0x74a	0x751
0x74d	0x159c
0x768	0x54f3
0x775	0x77d
0x789	0x15a5
0x78e	0x5524
0x796	0x5555
0x799	0x166a
0x79e	0x5590
0x7ab	0x7b3
0x7bf	0x16790x79d
0x7c4	0x55c1
0x7c7	0x17cd
0x7cc	0x55f2
0x7cf	0x17d3
0x7d4	0x562d
0x7e1	0x7e9
0x7fb	0x803
0x80d	0x815
0x82e	0x836
0x86d	0x17e2
0x878	0x564e
0x87b	0x1833
0x880	0x5689
0x883	0x1842
0x888	0x56c4
0x88b	0x1851
0x890	0x56f5
0x893	0x1857
0x898	0x5730
0x8a5	0x8ad
0x8b9	0x18660x897
0x8be	0x5761
0x8c1	0x1881
0x8c6	0x5792
0x8c9	0x1937
0x8ce	0x57b3
0x8dc	0x8e4
0x91e	0x926
0x930	0x938
0x951	0x959
0x9a3	0x9ab
0x9b5	0x9bd
0x9d6	0x9de
0xa3c	0x1d13
0xa41	0x57d4
0xa4e	0xa56
0xa59	0x1e84
0xa5e	0x5805
0xa61	0x1e8f
0xa66	0x5836
0xa73	0xa7b
0xa87	0x1e95
0xa8c	0x3dd0xa8b
0xa94	0x5867
0xaa1	0xaa9
0xab5	0x1f270xa93
0xaba	0x5898
0xac7	0xacf
0xb01	0xb09
0xb13	0xb1b
0xb34	0xb3c
0xb86	0xb8e
0xb98	0xba0
0xbb9	0xbc1
0xc01	0x1f840xab9
0xc08	0x58b9
0xc15	0xc1d
0xc20	0x2193
0xc25	0x58ea
0xc2d	0x591b
0xc3a	0xc42
0xc54	0x2312
0xc59	0x594e
0xc5c	0x2384
0xc61	0x597f
0xc64	0x238a
0xc69	0x59b0
0xc76	0xc7e
0xc9a	0x238f
0xc9f	0x59e1
0xcac	0xcb4
0xcc0	0x241a
0xcc5	0x5a12
0xcd2	0xcda
0xce6	0x2513
0xceb	0x5a43
0xcf3	0x5a74
0xd00	0xd08
0xd1a	0x265b
0xd1f	0xd44
0xd2c	0xd34
0xd40	0x26f8
0xd6b	0x5aa5
0xd78	0xd80
0xd83	0x278d
0xd88	0x5ad6
0xd8b	0x2798
0xd90	0x5b11
0xd9d	0xda5
0xdb9	0x27a7
0xdbe	0x5b42
0xdc6	0x5b73
0xdc9	0x28d4
0xdce	0x5ba4
0xddb	0xde3
0xdef	0x28da
0xdf4	0x5bd5
0xdf7	0x290c
0xdfc	0x5c10
0xe09	0xe11
0xe2d	0x291b
0xe32	0x5c41
0xe35	0x2929
0xe3a	0x5c7c
0xe47	0xe4f
0xe5b	0x293d
0xe60	0x5cad
0xe6d	0xe75
0xe78	0x294f
0xe7d	0x5cde
0xe80	0x29ea
0xe85	0x5d19
0xe88	0x29f9
0xec7	0x5d4c
0xecf	0xee60xe8c
0xee2	0x5d73
0xf89	0xf940x492
0x1007	0x100e
0x100f	0x1017
0x1032	0x103c
0x1086	0x108e
0x1095	0x10a2
0x10b0	0x10b8
0x10c1	0x10c8
0x10d1	0x1115
0x1160	0x1168
0x116f	0x117c
0x118a	0x1192
0x1196	0x11e6
0x1236	0x123e
0x1245	0x1252
0x1260	0x1268
0x126c	0x12bc
0x12bd	0x12ca
0x12d3	0x12dc
0x1338	0x1375
0x1380	0x1387
0x1389	0x13d2
0x13d3	0x13db
0x13fc	0x1403
0x1411	0x1416
0x1418	0x1452
0x150e	0x154b
0x1556	0x1561
0x157b	0x5dbb
0x15a8	0x15af
