0x40	[0x40, nil]
0x0	[0x0, nil]
0x60	[0x60, nil]
0x1f	[0x1f, nil]
0x4	[0x4, nil]
0xf	[0xf, nil]
0x2	[0x2, nil]
0x5	[0x5, nil]
0x7	[0x7, nil]
0x8	[0x8, nil]
0xd	[0xd, nil]
0x10	[0x10, nil]
0x12	[0x12, nil]
0x14	[0x14, nil]
0x19	[0x19, nil]
0x1a	[0x1a, nil]
0x24	[0x24, nil]
0x2a	[0x2a, nil]
0x2f	[0x2f, nil]
0x35	[0x35, nil]
0x3a	[0x3a, nil]
0x45	[0x45, nil]
0x4a	[0x4a, nil]
0x50	[0x50, nil]
0x55	[0x55, nil]
0x5b	[0x5b, nil]
0x66	[0x66, nil]
0x6b	[0x6b, nil]
0x71	[0x71, nil]
0x76	[0x76, nil]
0x7c	[0x7c, nil]
0x7e	[0x7e, nil]
0x7f	[0x7f, nil]
0x81	[0x81, nil]
0x82	[0x82, nil]
0x85	[0x85, nil]
0x87	[0x87, nil]
0x89	[0x89, nil]
0x8b	[0x8b, nil]
0x8c	[0x8c, nil]
0x8d	[0x8d, nil]
0x91	[0x91, nil]
0x9a	[0x9a, nil]
0x9c	[0x9c, nil]
0x9e	[0x9e, nil]
0xa1	[0xa1, nil]
0xab	[0xab, nil]
0xae	[0xae, nil]
0xaf	[0xaf, nil]
0xb3	[0xb3, nil]
0xb5	[0xb5, nil]
0xb8	[0xb8, nil]
0xb9	[0xb9, nil]
0xbd	[0xbd, nil]
0xbf	[0xbf, nil]
0xc2	[0xc2, nil]
0xc4	[0xc4, nil]
0xc5	[0xc5, nil]
0xc7	[0xc7, nil]
0xc8	[0xc8, nil]
0xc9	[0xc9, nil]
0xcb	[0xcb, nil]
0xcc	[0xcc, nil]
0xcf	[0xcf, nil]
0xd2	[0xd2, nil]
0xd3	[0xd3, nil]
0xd5	[0xd5, nil]
0xd8	[0xd8, nil]
0xda	[0xda, nil]
0xdf	[0xdf, nil]
0xe8	[0xe8, nil]
0xea	[0xea, nil]
0xeb	[0xeb, nil]
0xec	[0xec, nil]
0xf2	[0xf2, nil]
0xf3	[0xf3, nil]
0xf7	[0xf7, nil]
0xfb	[0xfb, nil]
0xff	[0xff, nil]
0x101	[0x101, nil]
0x102	[0x102, nil]
0x106	[0x106, nil]
0x10c	[0x10c, nil]
0x10f	[0x10f, nil]
0x130	[0x130, nil]
0x132	[0x132, nil]
0x133	[0x133, nil]
0x137	[0x137, nil]
0x13d	[0x13d, nil]
0x140	[0x140, nil]
0x145	[0x145, nil]
0x147	[0x147, nil]
0x148	[0x148, nil]
0x14c	[0x14c, nil]
0x152	[0x152, nil]
0x155	[0x155, nil]
0x15a	[0x15a, nil]
0x15c	[0x15c, nil]
0x15d	[0x15d, nil]
0x161	[0x161, nil]
0x167	[0x167, nil]
0x16a	[0x16a, nil]
0x16d	[0x16d, nil]
0x16e	[0x16e, nil]
0x16f	[0x16f, nil]
0x172	[0x172, nil]
0x173	[0x173, nil]
0x174	[0x174, nil]
0x178	[0x178, nil]
0x17e	[0x17e, nil]
0x17f	[0x17f, nil]
0x181	[0x181, nil]
0x183	[0x183, nil]
0x185	[0x185, nil]
0x186	[0x186, nil]
0x187	[0x187, nil]
0x188	[0x188, nil]
0x19f	[0x19f, nil]
0x1a1	[0x1a1, nil]
0x1a2	[0x1a2, nil]
0x1a6	[0x1a6, nil]
0x1ac	[0x1ac, nil]
0x1af	[0x1af, nil]
0x1b4	[0x1b4, nil]
0x1b6	[0x1b6, nil]
0x1b7	[0x1b7, nil]
0x1bb	[0x1bb, nil]
0x1c1	[0x1c1, nil]
0x1c4	[0x1c4, nil]
0x1c7	[0x1c7, nil]
0x1c8	[0x1c8, nil]
0x1c9	[0x1c9, nil]
