0xee	0xf6
0xf8	0x134f
0x115	0x11d
0x11f	0x126
0x122	0x3ae
0x156	0x15e
0x160	0x1380
0x17f	0x187
0x189	0x13b3
0x198	0x40a
0x1a2	0x1aa
0x1ac	0x13d4
0x1bb	0x466
0x1c3	0x1cb
0x1cd	0x13f5
0x1f3	0x1fb
0x1fd	0x204
0x22d	0x240
0x23c	0x228
0x258	0x260
0x262	0x1428
0x268	0x9c6
0x270	0x278
0x27a	0x1449
0x285	0x28d
0x28f	0x147a
0x2c2	0x2ca
0x2cc	0x14b5
0x2d7	0x2df
0x2e1	0x14f0
0x2f8	0x300
0x302	0x1523
0x305	0xcbd
0x30d	0x315
0x317	0x1554
0x31a	0xd0b
0x322	0x32a
0x32c	0x158f
0x343	0x34b
0x34d	0x15b0
0x40b	0x412
0x41e	0x426
0x427	0x42f
0x467	0x46e
0x47a	0x482
0x483	0x48b
0x9c7	0x9ce
0x9da	0x9e2
0x9e4	0x9eb
0x9ee	0x9f6
0x9fa	0xa02
0xb5a	0xb74
0xb70	0xb55
0xd50	0x164f0xd3e
0xf4b	0xf53
0xf75	0xf7c
0x16c2	0x16e4
0x16c4	0x16e7
0x16c6	0x16ea
0x16c8	0x16ed
0x16ca	0x16f0
0x16cc	0x16f3
0x16ce	0x16f6
0x16d0	0x16f9
0x16d2	0x16fc
0x16d4	0x16ff
0x16d6	0x1702
0x16d8	0x1705
0x16da	0x1708
0x16dc	0x170b
0x16de	0x170e
0x16e0	0x1711
0x16e2	0x1714
0x10150x10ae	0x10930x1015
0x10150x1098	0x10b20x1015
0xd3e0xd57	0xd5f0xd3e
0x67cV0x1cb	0x681B0x1cb
0x725V0x1cb	0x72aB0x1cb
0x752V0x1cb	0x757B0x1cb
0x793V0x1cb	0x798B0x1cb
0x556V0x1cb	0x573B0x1cb
0x533V0x1cb	0x546B0x1cb
0x58bV0x1cb	0x61eB0x1cb
0x620V0x1cb	0x628B0x1cb
0x5edV0x1cb	0x5faB0x1cb
0x608V0x1cb	0x610B0x1cb
0x62bV0x1cb	0x633B0x1cb
0x634V0x1cb	0x63bB0x1cb
0x63dV0x1cb	0x645B0x1cb
0x646V0x1cb	0x64eB0x1cb
0x652V0x1cb	0x65aB0x1cb
0x65fV0x1cb	0x667B0x1cb
0x832V0x1cb	0x83aB0x1cb
0x69fV0x1cb	0x6d3B0x1cb
0x6d6V0x1cb	0x6deB0x1cb
0x6dfV0x1cb	0x702B0x1cb
0x6e8V0x1cb	0x6edB0x1cb
0x704V0x1cb	0x70cB0x1cb
0x6feV0x1cb	0xd3e0x4c2B0x1cb
0x710V0x1cb	0x779B0x1cb
0x782V0x1cb	0x7c5B0x1cb
0x745V0x1cb	0x15e3B0x1cb
0x73bV0x1cb	0x10150x4c2B0x1cb
0x15e4V0x1cb	0x7d8B0x1cb
0x1608V0x1cb	0x7d8B0x1cb
0x770V0x1cb	0x10150x4c2B0x1cb
0x7d3V0x1cb	0x798B0x1cb
0x7c0V0x1cb	0x757B0x1cb
0x7b1V0x1cb	0x72aB0x1cb
0x162cV0x1cb	0x7d8B0x1cb
0x7dfV0x1cb	0x7e4B0x1cb
0x82dV0x1cb	0x66bB0x1cb
0x670V0x1cb	0x831B0x1cb
0x8acV0x1cb	0x8b3B0x1cb
0x8afV0x1cb	0x1177B0x1cb
0x8e7V0x1cb	0x8eeB0x1cb
0x542V0x1cb	0x52eB0x1cb
0x5deV0x1cb	0x5e6B0x1cb
0x6b2V0x1cb	0x6b7B0x1cb
0x4c20xd57V0x1cb	0xd5f0x4c2B0x1cb
0x4c20x10aeV0x1cb	0x10930x4c2B0x1cb
0x4c20x1098V0x1cb	0x10b20x4c2B0x1cb
0x4c20xd50V0x1cb	0x164f0x4c2B0x1cb
0x1122V0x831V0x1cb	0x112aB0x831B0x1cb
0x8ffV0x1fb	0x906B0x1fb
0x91cV0x1fb	0x92fB0x1fb
0x937V0x1fb	0x946B0x1fb
0x955V0x1fb	0x95dB0x1fb
0x96aV0x1fb	0x9beB0x1fb
0x994V0x1fb	0x99cB0x1fb
0x9b1V0x1fb	0x9b9B0x1fb
0x9baV0x1fb	0x95dB0x1fb
0x977V0x1fb	0x97cB0x1fb
0xc1aV0x2df	0xc29B0x2df
0xc38V0x2df	0xc40B0x2df
0xc4dV0x2df	0xcb1B0x2df
0xc87V0x2df	0xc8fB0x2df
0xc78V0x2df	0xc7dB0x2df
0xc82V0x2df	0xcb6B0x2df
0xca4V0x2df	0xcacB0x2df
0xcadV0x2df	0xc40B0x2df
0xc67V0x2df	0xc86B0x2df
0xc6cV0x2df	0xc73B0x2df
0xd17V0x32a	0xd1eB0x32a
0xd2aV0x32a	0xd32B0x32a
0xd33V0x32a	0xd3bB0x32a
0xd77V0x426	0xd7eB0x426
0xd7fV0x426	0xd86B0x426
0xd88V0x426	0xd90B0x426
0xd91V0x426	0xd99B0x426
0xd9cV0x426	0xda4B0x426
0xda5V0x426	0xdadB0x426
0xdbaV0x426	0xdc2B0x426
0xdd1V0x426	0xdd9B0x426
0xde9V0x426	0xe2bB0x426
0xe2cV0x426	0xe35B0x426
0xe0aV0x426	0xe1bB0x426
0xe1eV0x426	0xe26B0x426
0xe27V0x426	0xdd9B0x426
0xe36V0x426	0xe74B0x426
0xe70V0x426	0x11ceB0x426
0xe75V0x426	0xe95B0x426
0xe78V0x426	0x1674B0x426
0xe7dV0x426	0xe84B0x426
0xe8eV0x426	0x12eaB0x426
0x12f1V0x426	0x12f6B0x426
0x11ecV0x426	0x1206B0x426
0x1277V0x426	0x1291B0x426
0xdf0V0x426	0xdf8B0x426
0x1202V0x426	0x11e7B0x426
0x128dV0x426	0x1272B0x426
0x1122V0x1674V0x426	0x112aB0x1674B0x426
0xeacV0x482	0xebeB0x482
0xec1V0x482	0xec9B0x482
0xecaV0x482	0xed2B0x482
0xed4V0x482	0xedcB0x482
0xeddV0x482	0xeecB0x482
0xefbV0x482	0xf03B0x482
0xf04V0x482	0xf0dB0x482
0xf0eV0x482	0xf1eB0x482
0xf1fV0x482	0xf3aB0x482
0xf22V0x482	0x1698B0x482
0xf27V0x482	0xf2eB0x482
0x1122V0x1698V0x482	0x112aB0x1698B0x482
0x1304V0xf2eV0x482	0x16bcB0xf2eB0x482
